--------- beginning of main
--------- beginning of system
08-04 02:31:49.010 29597  2769 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-04 02:31:49.683 29597  2801 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-04 02:31:49.683 29597  2801 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-04 02:31:49.683 29597  2801 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:50.161 29597  2801 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 02:31:50.163 29597  2801 D CustomInterceptor: HEADER RESPONSE
08-04 02:31:50.163 29597  2801 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 02:31:50.163 29597  2801 D CustomInterceptor: Connection close
08-04 02:31:50.163 29597  2801 D CustomInterceptor: Content-Type application/json
08-04 02:31:50.163 29597  2801 D CustomInterceptor: Date Tue, 04 Aug 2020 00:31:45 GMT
08-04 02:31:50.163 29597  2801 D CustomInterceptor: Expires Tue, 04 Aug 2020 00:36:50 GMT+00:00
08-04 02:31:50.163 29597  2801 D CustomInterceptor: Server gunicorn/19.7.0
08-04 02:31:50.163 29597  2801 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-04 02:31:50.163 29597  2801 D CustomInterceptor: Transfer-Encoding chunked
08-04 02:31:50.163 29597  2801 D CustomInterceptor: Vary Cookie
08-04 02:31:50.163 29597  2801 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-04 02:31:50.163 29597  2801 D CustomInterceptor: X-gunicorn-server app17
08-04 02:31:50.163 29597  2801 D CustomInterceptor: CACHEABLE true
08-04 02:31:50.163 29597  2801 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-04 02:31:50.163 29597  2801 D CustomInterceptor: REQ_SERV_BY net
08-04 02:31:50.163 29597  2801 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-04 02:31:50.166 29597  2801 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 02:31:54.879 29597  2962 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-04 02:31:54.879 29597  2962 D CustomInterceptor: HEADER REQUEST
08-04 02:31:54.880 29597  2962 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:31:54.880 29597  2962 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 21:08:20 GMT; Max-Age=63072000; Path=/
08-04 02:31:54.880 29597  2962 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-04 02:31:54.881 29597  2962 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-04 02:31:54.881 29597  2962 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:55.407 29597  2962 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 02:31:55.408 29597  2962 D CustomInterceptor: HEADER RESPONSE
08-04 02:31:55.408 29597  2962 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 02:31:55.408 29597  2962 D CustomInterceptor: Connection close
08-04 02:31:55.408 29597  2962 D CustomInterceptor: Content-Type application/json
08-04 02:31:55.408 29597  2962 D CustomInterceptor: Date Tue, 04 Aug 2020 00:31:50 GMT
08-04 02:31:55.408 29597  2962 D CustomInterceptor: Expires Tue, 04 Aug 2020 00:36:55 GMT+00:00
08-04 02:31:55.408 29597  2962 D CustomInterceptor: Server gunicorn/19.7.0
08-04 02:31:55.408 29597  2962 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-04 02:31:55.408 29597  2962 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-04 02:31:55.409 29597  2962 D CustomInterceptor: X-gunicorn-server app12
08-04 02:31:55.409 29597  2962 D CustomInterceptor: X-Homer Save me, Jeebus.
08-04 02:31:55.409 29597  2962 D CustomInterceptor: CACHEABLE true
08-04 02:31:55.409 29597  2962 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-04 02:31:55.409 29597  2962 D CustomInterceptor: REQ_SERV_BY net
08-04 02:31:55.409 29597  2962 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-04 02:31:55.414 29597  2962 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 02:31:55.549 29597  3003 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-04 02:31:55.550 29597  3003 D CustomInterceptor: HEADER REQUEST
08-04 02:31:55.550 29597  3003 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:31:55.551 29597  3003 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=3,misses=3,hitRate=50%]', 
08-04 02:31:55.551 29597  3003 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:55.567 29597  3004 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-04 02:31:55.568 29597  3004 D CustomInterceptor: HEADER REQUEST
08-04 02:31:55.568 29597  3004 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:31:55.568 29597  3004 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '4', toString = 'LruCache[maxSize=100,hits=3,misses=4,hitRate=42%]', 
08-04 02:31:55.568 29597  3004 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:55.573 29597  3005 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-04 02:31:55.573 29597  3005 D CustomInterceptor: HEADER REQUEST
08-04 02:31:55.573 29597  3005 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:31:55.574 29597  3005 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '5', toString = 'LruCache[maxSize=100,hits=3,misses=5,hitRate=37%]', 
08-04 02:31:55.574 29597  3005 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:55.580 29597  3006 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-04 02:31:55.580 29597  3006 D CustomInterceptor: HEADER REQUEST
08-04 02:31:55.580 29597  3006 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:31:55.580 29597  3006 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '6', toString = 'LruCache[maxSize=100,hits=3,misses=6,hitRate=33%]', 
08-04 02:31:55.580 29597  3006 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:55.587 29597  3008 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-04 02:31:55.587 29597  3008 D CustomInterceptor: HEADER REQUEST
08-04 02:31:55.587 29597  3008 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:31:55.587 29597  3008 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '7', toString = 'LruCache[maxSize=100,hits=3,misses=7,hitRate=30%]', 
08-04 02:31:55.587 29597  3008 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:55.595 29597  3010 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-04 02:31:55.596 29597  3010 D CustomInterceptor: HEADER REQUEST
08-04 02:31:55.596 29597  3010 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:31:55.596 29597  3010 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=3,misses=8,hitRate=27%]', 
08-04 02:31:55.596 29597  3010 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:55.606 29597  3007 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-04 02:31:55.607 29597  3007 D CustomInterceptor: HEADER REQUEST
08-04 02:31:55.607 29597  3007 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:31:55.607 29597  3007 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '9', toString = 'LruCache[maxSize=100,hits=3,misses=9,hitRate=25%]', 
08-04 02:31:55.607 29597  3007 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:55.615 29597  3009 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-04 02:31:55.616 29597  3009 D CustomInterceptor: HEADER REQUEST
08-04 02:31:55.616 29597  3009 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:31:55.616 29597  3009 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '10', toString = 'LruCache[maxSize=100,hits=3,misses=10,hitRate=23%]', 
08-04 02:31:55.616 29597  3009 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:31:55.643 29597  3007 D CustomInterceptor: HEADER RESPONSE
08-04 02:31:55.643 29597  3007 D CustomInterceptor: Cache-Control max-age=3600
08-04 02:31:55.643 29597  3007 D CustomInterceptor: Content-Length 43
08-04 02:31:55.643 29597  3007 D CustomInterceptor: Content-Type image/gif
08-04 02:31:55.643 29597  3007 D CustomInterceptor: Date Tue, 04 Aug 2020 00:31:51 GMT
08-04 02:31:55.643 29597  3007 D CustomInterceptor: Expires Tue, 04 Aug 2020 01:31:51 GMT
08-04 02:31:55.643 29597  3007 D CustomInterceptor: Server GSE
08-04 02:31:55.643 29597  3007 D CustomInterceptor: X-Content-Type-Options nosniff
08-04 02:31:55.644 29597  3007 D CustomInterceptor: X-XSS-Protection 1; mode=block
08-04 02:31:55.644 29597  3007 D CustomInterceptor: CACHEABLE true
08-04 02:31:55.644 29597  3007 D CustomInterceptor: REQ http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-04 02:31:55.644 29597  3007 D CustomInterceptor: REQ_SERV_BY net
08-04 02:31:55.644 29597  3007 D CustomInterceptor: PREFLIB Adding response to lrucache - http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-04 02:31:55.645 29597  3007 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 02:31:55.959 29597  3005 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-04 02:31:55.962 29597  3005 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-04 02:31:55.978 29597  3009 D CustomInterceptor: HEADER RESPONSE
08-04 02:31:55.978 29597  3009 D CustomInterceptor: accept-ranges bytes
08-04 02:31:55.978 29597  3009 D CustomInterceptor: access-control-allow-headers X-Requested-With
08-04 02:31:55.978 29597  3009 D CustomInterceptor: access-control-allow-origin *
08-04 02:31:55.978 29597  3009 D CustomInterceptor: cache-control public, max-age=31557600
08-04 02:31:55.978 29597  3009 D CustomInterceptor: content-length 79351
08-04 02:31:55.978 29597  3009 D CustomInterceptor: content-type image/png
08-04 02:31:55.978 29597  3009 D CustomInterceptor: date Tue, 04 Aug 2020 00:31:51 GMT
08-04 02:31:55.978 29597  3009 D CustomInterceptor: etag "b17a734fb67cc334f872374df18d4823"
08-04 02:31:55.978 29597  3009 D CustomInterceptor: last-modified Mon, 03 Aug 2020 17:55:03 GMT
08-04 02:31:55.978 29597  3009 D CustomInterceptor: server nginx
08-04 02:31:55.978 29597  3009 D CustomInterceptor: server-timing akam;dur=60;start=2020-07-28T11:13:12.502Z;total=1330;desc=miss,rtt;dur=0
08-04 02:31:55.978 29597  3009 D CustomInterceptor: status 200 OK
08-04 02:31:55.978 29597  3009 D CustomInterceptor: timing-allow-origin *
08-04 02:31:55.978 29597  3009 D CustomInterceptor: vary User-Agent
08-04 02:31:55.978 29597  3009 D CustomInterceptor: via 1.1 varnish
08-04 02:31:55.978 29597  3009 D CustomInterceptor: x-cache HIT, HIT
08-04 02:31:55.978 29597  3009 D CustomInterceptor: x-cache-hits 1, 1
08-04 02:31:55.978 29597  3009 D CustomInterceptor: x-cld-vary User-Agent
08-04 02:31:55.979 29597  3009 D CustomInterceptor: x-request-id 118e90281c8e5540ce13bb2507dc55c0
08-04 02:31:55.979 29597  3009 D CustomInterceptor: x-served-by cache-bwi5145-BWI, cache-ams21045-AMS
08-04 02:31:55.979 29597  3009 D CustomInterceptor: x-timer S1595958603.567940,VS0,VE1
08-04 02:31:55.979 29597  3009 D CustomInterceptor: CACHEABLE true
08-04 02:31:55.979 29597  3009 D CustomInterceptor: REQ https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-04 02:31:55.979 29597  3009 D CustomInterceptor: REQ_SERV_BY net
08-04 02:31:55.979 29597  3009 D CustomInterceptor: PREFLIB Adding response to lrucache - https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-04 02:31:56.000 29597  3004 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-04 02:31:56.002 29597  3004 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-04 02:31:56.008 29597  3003 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-04 02:31:56.014 29597  3003 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-04 02:31:56.017 29597  3009 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 02:31:56.091 29597  3010 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 02:31:56.097 29597  3010 D CustomInterceptor: HEADER RESPONSE
08-04 02:31:56.098 29597  3010 D CustomInterceptor: Accept-Ranges bytes
08-04 02:31:56.098 29597  3010 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 02:31:56.098 29597  3010 D CustomInterceptor: Content-Length 477
08-04 02:31:56.098 29597  3010 D CustomInterceptor: Content-Type image/png
08-04 02:31:56.098 29597  3010 D CustomInterceptor: Date Tue, 04 Aug 2020 00:31:52 GMT
08-04 02:31:56.098 29597  3010 D CustomInterceptor: ETag "c9bf1f07378831e51f45ddc262f16afc"
08-04 02:31:56.098 29597  3010 D CustomInterceptor: Expires Tue, 04 Aug 2020 00:36:56 GMT+00:00
08-04 02:31:56.098 29597  3010 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 00:08:50 GMT
08-04 02:31:56.098 29597  3010 D CustomInterceptor: Server AmazonS3
08-04 02:31:56.098 29597  3010 D CustomInterceptor: x-amz-id-2 94Rwk5ojWxCqHXBHdbTnIfMwWvr8BoPO9FIAVluZq4vB828m+Cmx0ha8bhtO/NPhl223fsMKZj0=
08-04 02:31:56.098 29597  3010 D CustomInterceptor: x-amz-request-id 0EA63B351126C2AD
08-04 02:31:56.098 29597  3010 D CustomInterceptor: CACHEABLE true
08-04 02:31:56.099 29597  3010 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-04 02:31:56.099 29597  3010 D CustomInterceptor: REQ_SERV_BY net
08-04 02:31:56.099 29597  3010 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-04 02:31:56.099 29597  3008 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 02:31:56.101 29597  3008 D CustomInterceptor: HEADER RESPONSE
08-04 02:31:56.102 29597  3008 D CustomInterceptor: Accept-Ranges bytes
08-04 02:31:56.102 29597  3008 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 02:31:56.102 29597  3008 D CustomInterceptor: Content-Length 243
08-04 02:31:56.102 29597  3008 D CustomInterceptor: Content-Type image/png
08-04 02:31:56.102 29597  3008 D CustomInterceptor: Date Tue, 04 Aug 2020 00:31:52 GMT
08-04 02:31:56.102 29597  3008 D CustomInterceptor: ETag "ff3726165bbd11816de674a75693fba7"
08-04 02:31:56.102 29597  3008 D CustomInterceptor: Expires Tue, 04 Aug 2020 00:36:56 GMT+00:00
08-04 02:31:56.102 29597  3008 D CustomInterceptor: Last-Modified Mon, 03 Aug 2020 00:45:48 GMT
08-04 02:31:56.102 29597  3008 D CustomInterceptor: Server AmazonS3
08-04 02:31:56.102 29597  3008 D CustomInterceptor: x-amz-id-2 wne6NNWwn08ntKiKKy9kUukC8PyYkR/ZQjdI2daB9u3xPvfEXggbnrzXM/bpIcjfZt7xqxMiHNE=
08-04 02:31:56.102 29597  3008 D CustomInterceptor: x-amz-request-id 8C96FD80B0A0B0DD
08-04 02:31:56.102 29597  3008 D CustomInterceptor: CACHEABLE true
08-04 02:31:56.102 29597  3008 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-04 02:31:56.102 29597  3008 D CustomInterceptor: REQ_SERV_BY net
08-04 02:31:56.102 29597  3008 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-04 02:31:56.120 29597  3010 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 02:31:56.125 29597  3006 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 02:31:56.126 29597  3006 D CustomInterceptor: HEADER RESPONSE
08-04 02:31:56.126 29597  3006 D CustomInterceptor: Accept-Ranges bytes
08-04 02:31:56.126 29597  3006 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 02:31:56.126 29597  3006 D CustomInterceptor: Content-Length 145
08-04 02:31:56.126 29597  3006 D CustomInterceptor: Content-Type image/png
08-04 02:31:56.126 29597  3006 D CustomInterceptor: Date Tue, 04 Aug 2020 00:31:52 GMT
08-04 02:31:56.126 29597  3006 D CustomInterceptor: ETag "b48046b4e0d289b5a850262f03eb2d2d"
08-04 02:31:56.126 29597  3006 D CustomInterceptor: Expires Tue, 04 Aug 2020 00:36:56 GMT+00:00
08-04 02:31:56.127 29597  3006 D CustomInterceptor: Last-Modified Sun, 02 Aug 2020 20:38:38 GMT
08-04 02:31:56.127 29597  3006 D CustomInterceptor: Server AmazonS3
08-04 02:31:56.127 29597  3006 D CustomInterceptor: x-amz-id-2 nDiDQANtDNVqEPucOfLtnn1Sx7gr+QY+8aAbQ7XZXU86Z7PKjjK674CpOsLT5+9Veg1xKpYxLtE=
08-04 02:31:56.127 29597  3006 D CustomInterceptor: x-amz-request-id 6Z1W4S4Z6X7N1J4P
08-04 02:31:56.127 29597  3006 D CustomInterceptor: CACHEABLE true
08-04 02:31:56.127 29597  3006 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-04 02:31:56.127 29597  3006 D CustomInterceptor: REQ_SERV_BY net
08-04 02:31:56.127 29597  3006 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-04 02:31:56.130 29597  3008 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 02:31:56.149 29597  3006 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 02:32:05.700 29597  3010 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-04 02:32:05.701 29597  3010 D CustomInterceptor: HEADER REQUEST
08-04 02:32:05.701 29597  3010 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:32:05.701 29597  3010 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '11', toString = 'LruCache[maxSize=100,hits=8,misses=11,hitRate=42%]', 
08-04 02:32:05.701 29597  3010 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:32:05.721 29597  3008 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-04 02:32:05.721 29597  3006 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-04 02:32:05.722 29597  3008 D CustomInterceptor: HEADER REQUEST
08-04 02:32:05.723 29597  3008 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:32:05.723 29597  3005 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-04 02:32:05.723 29597  3008 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '12', toString = 'LruCache[maxSize=100,hits=8,misses=12,hitRate=40%]', 
08-04 02:32:05.723 29597  3006 D CustomInterceptor: HEADER REQUEST
08-04 02:32:05.723 29597  3008 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:32:05.723 29597  3006 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:32:05.723 29597  3006 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '13', toString = 'LruCache[maxSize=100,hits=8,misses=13,hitRate=38%]', 
08-04 02:32:05.723 29597  3006 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:32:05.723 29597  3005 D CustomInterceptor: HEADER REQUEST
08-04 02:32:05.723 29597  3005 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:32:05.723 29597  3005 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '14', toString = 'LruCache[maxSize=100,hits=8,misses=14,hitRate=36%]', 
08-04 02:32:05.723 29597  3005 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 02:32:05.735 29597  3003 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-04 02:32:05.735 29597  3004 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-04 02:32:05.736 29597  3003 D CustomInterceptor: HEADER REQUEST
08-04 02:32:05.736 29597  3004 D CustomInterceptor: HEADER REQUEST
08-04 02:32:05.736 29597  3003 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 02:32:05.736 29597  3004 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
