--------- beginning of main
--------- beginning of system
08-05 17:15:13.294 24542  4658 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 17:15:14.497 24542  4684 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 17:15:14.498 24542  4684 D CustomInterceptor: HEADER RESPONSE
08-05 17:15:14.498 24542  4684 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 17:15:14.498 24542  4684 D CustomInterceptor: Connection close
08-05 17:15:14.498 24542  4684 D CustomInterceptor: Content-Type application/json
08-05 17:15:14.498 24542  4684 D CustomInterceptor: Date Wed, 05 Aug 2020 15:15:09 GMT
08-05 17:15:14.498 24542  4684 D CustomInterceptor: Expires Wed, 05 Aug 2020 15:20:14 GMT+00:00
08-05 17:15:14.498 24542  4684 D CustomInterceptor: Server gunicorn/19.7.0
08-05 17:15:14.498 24542  4684 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 17:15:14.498 24542  4684 D CustomInterceptor: Transfer-Encoding chunked
08-05 17:15:14.498 24542  4684 D CustomInterceptor: Vary Cookie
08-05 17:15:14.498 24542  4684 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-05 17:15:14.498 24542  4684 D CustomInterceptor: X-gunicorn-server app17
08-05 17:15:14.498 24542  4684 D CustomInterceptor: CACHEABLE true
08-05 17:15:14.498 24542  4684 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 17:15:14.498 24542  4684 D CustomInterceptor: REQ_SERV_BY net
08-05 17:15:14.499 24542  4684 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 17:15:14.501 24542  4684 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 17:15:19.068 24542  4849 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 17:15:19.069 24542  4849 D CustomInterceptor: HEADER REQUEST
08-05 17:15:19.069 24542  4849 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:19.069 24542  4849 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:31:07 GMT; Max-Age=63072000; Path=/
08-05 17:15:19.069 24542  4849 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 17:15:19.069 24542  4849 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-05 17:15:19.069 24542  4849 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:19.635 24542  4849 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 17:15:19.636 24542  4849 D CustomInterceptor: HEADER RESPONSE
08-05 17:15:19.637 24542  4849 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 17:15:19.637 24542  4849 D CustomInterceptor: Connection close
08-05 17:15:19.637 24542  4849 D CustomInterceptor: Content-Type application/json
08-05 17:15:19.637 24542  4849 D CustomInterceptor: Date Wed, 05 Aug 2020 15:15:14 GMT
08-05 17:15:19.637 24542  4849 D CustomInterceptor: Expires Wed, 05 Aug 2020 15:20:19 GMT+00:00
08-05 17:15:19.637 24542  4849 D CustomInterceptor: Server gunicorn/19.7.0
08-05 17:15:19.637 24542  4849 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 17:15:19.637 24542  4849 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-05 17:15:19.637 24542  4849 D CustomInterceptor: X-gunicorn-server app12
08-05 17:15:19.637 24542  4849 D CustomInterceptor: X-Homer Save me, Jeebus.
08-05 17:15:19.637 24542  4849 D CustomInterceptor: CACHEABLE true
08-05 17:15:19.637 24542  4849 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 17:15:19.637 24542  4849 D CustomInterceptor: REQ_SERV_BY net
08-05 17:15:19.637 24542  4849 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 17:15:19.648 24542  4849 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 17:15:19.783 24542  4876 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 17:15:19.784 24542  4876 D CustomInterceptor: HEADER REQUEST
08-05 17:15:19.784 24542  4876 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:19.784 24542  4876 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=3,misses=3,hitRate=50%]', 
08-05 17:15:19.784 24542  4876 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:19.799 24542  4877 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 17:15:19.800 24542  4877 D CustomInterceptor: HEADER REQUEST
08-05 17:15:19.800 24542  4877 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:19.800 24542  4877 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '4', toString = 'LruCache[maxSize=100,hits=3,misses=4,hitRate=42%]', 
08-05 17:15:19.800 24542  4877 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:19.805 24542  4879 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 17:15:19.805 24542  4879 D CustomInterceptor: HEADER REQUEST
08-05 17:15:19.805 24542  4879 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:19.806 24542  4879 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '5', toString = 'LruCache[maxSize=100,hits=3,misses=5,hitRate=37%]', 
08-05 17:15:19.806 24542  4879 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:19.811 24542  4880 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 17:15:19.812 24542  4880 D CustomInterceptor: HEADER REQUEST
08-05 17:15:19.812 24542  4880 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:19.812 24542  4880 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '6', toString = 'LruCache[maxSize=100,hits=3,misses=6,hitRate=33%]', 
08-05 17:15:19.812 24542  4880 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:19.819 24542  4883 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-05 17:15:19.819 24542  4883 D CustomInterceptor: HEADER REQUEST
08-05 17:15:19.819 24542  4883 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:19.819 24542  4883 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '7', toString = 'LruCache[maxSize=100,hits=3,misses=7,hitRate=30%]', 
08-05 17:15:19.819 24542  4883 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:19.828 24542  4885 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 17:15:19.828 24542  4885 D CustomInterceptor: HEADER REQUEST
08-05 17:15:19.828 24542  4885 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:19.828 24542  4885 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=3,misses=8,hitRate=27%]', 
08-05 17:15:19.828 24542  4885 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:19.839 24542  4881 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 17:15:19.839 24542  4881 D CustomInterceptor: HEADER REQUEST
08-05 17:15:19.839 24542  4881 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:19.839 24542  4881 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '9', toString = 'LruCache[maxSize=100,hits=3,misses=9,hitRate=25%]', 
08-05 17:15:19.839 24542  4881 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:19.847 24542  4884 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-05 17:15:19.848 24542  4884 D CustomInterceptor: HEADER REQUEST
08-05 17:15:19.848 24542  4884 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:19.848 24542  4884 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '10', toString = 'LruCache[maxSize=100,hits=3,misses=10,hitRate=23%]', 
08-05 17:15:19.848 24542  4884 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:19.885 24542  4881 D CustomInterceptor: HEADER RESPONSE
08-05 17:15:19.886 24542  4881 D CustomInterceptor: Cache-Control max-age=3600
08-05 17:15:19.886 24542  4881 D CustomInterceptor: Content-Length 43
08-05 17:15:19.886 24542  4881 D CustomInterceptor: Content-Type image/gif
08-05 17:15:19.886 24542  4881 D CustomInterceptor: Date Wed, 05 Aug 2020 15:15:16 GMT
08-05 17:15:19.886 24542  4881 D CustomInterceptor: Expires Wed, 05 Aug 2020 16:15:16 GMT
08-05 17:15:19.886 24542  4881 D CustomInterceptor: Server GSE
08-05 17:15:19.886 24542  4881 D CustomInterceptor: X-Content-Type-Options nosniff
08-05 17:15:19.886 24542  4881 D CustomInterceptor: X-XSS-Protection 1; mode=block
08-05 17:15:19.886 24542  4881 D CustomInterceptor: CACHEABLE true
08-05 17:15:19.886 24542  4881 D CustomInterceptor: REQ http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 17:15:19.886 24542  4881 D CustomInterceptor: REQ_SERV_BY net
08-05 17:15:19.886 24542  4881 D CustomInterceptor: PREFLIB Adding response to lrucache - http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 17:15:19.887 24542  4881 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 17:15:20.194 24542  4876 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-05 17:15:20.198 24542  4876 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-05 17:15:20.220 24542  4877 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-05 17:15:20.223 24542  4884 D CustomInterceptor: HEADER RESPONSE
08-05 17:15:20.223 24542  4884 D CustomInterceptor: accept-ranges bytes
08-05 17:15:20.223 24542  4884 D CustomInterceptor: access-control-allow-headers X-Requested-With
08-05 17:15:20.223 24542  4884 D CustomInterceptor: access-control-allow-origin *
08-05 17:15:20.223 24542  4884 D CustomInterceptor: cache-control public, max-age=31557600
08-05 17:15:20.223 24542  4884 D CustomInterceptor: content-length 79351
08-05 17:15:20.223 24542  4884 D CustomInterceptor: content-type image/png
08-05 17:15:20.223 24542  4884 D CustomInterceptor: date Wed, 05 Aug 2020 15:15:15 GMT
08-05 17:15:20.223 24542  4884 D CustomInterceptor: etag "b17a734fb67cc334f872374df18d4823"
08-05 17:15:20.223 24542  4884 D CustomInterceptor: last-modified Wed, 05 Aug 2020 08:38:27 GMT
08-05 17:15:20.223 24542  4884 D CustomInterceptor: server nginx
08-05 17:15:20.223 24542  4884 D CustomInterceptor: server-timing akam;dur=60;start=2020-07-28T11:13:12.502Z;total=1330;desc=miss,rtt;dur=0
08-05 17:15:20.223 24542  4884 D CustomInterceptor: status 200 OK
08-05 17:15:20.224 24542  4884 D CustomInterceptor: timing-allow-origin *
08-05 17:15:20.224 24542  4884 D CustomInterceptor: vary User-Agent
08-05 17:15:20.224 24542  4884 D CustomInterceptor: via 1.1 varnish
08-05 17:15:20.224 24542  4884 D CustomInterceptor: x-cache HIT, HIT
08-05 17:15:20.224 24542  4884 D CustomInterceptor: x-cache-hits 1, 1
08-05 17:15:20.224 24542  4884 D CustomInterceptor: x-cld-vary User-Agent
08-05 17:15:20.224 24542  4884 D CustomInterceptor: x-request-id 118e90281c8e5540ce13bb2507dc55c0
08-05 17:15:20.224 24542  4884 D CustomInterceptor: x-served-by cache-bwi5145-BWI, cache-ams21045-AMS
08-05 17:15:20.224 24542  4884 D CustomInterceptor: x-timer S1595958603.567940,VS0,VE1
08-05 17:15:20.224 24542  4884 D CustomInterceptor: CACHEABLE true
08-05 17:15:20.224 24542  4884 D CustomInterceptor: REQ https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-05 17:15:20.224 24542  4884 D CustomInterceptor: REQ_SERV_BY net
08-05 17:15:20.224 24542  4884 D CustomInterceptor: PREFLIB Adding response to lrucache - https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-05 17:15:20.226 24542  4877 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-05 17:15:20.258 24542  4884 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 17:15:20.327 24542  4879 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-05 17:15:20.330 24542  4879 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-05 17:15:20.391 24542  4880 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 17:15:20.391 24542  4880 D CustomInterceptor: HEADER RESPONSE
08-05 17:15:20.392 24542  4880 D CustomInterceptor: Accept-Ranges bytes
08-05 17:15:20.392 24542  4880 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 17:15:20.392 24542  4880 D CustomInterceptor: Content-Length 145
08-05 17:15:20.392 24542  4880 D CustomInterceptor: Content-Type image/png
08-05 17:15:20.392 24542  4880 D CustomInterceptor: Date Wed, 05 Aug 2020 15:15:16 GMT
08-05 17:15:20.392 24542  4880 D CustomInterceptor: ETag "b48046b4e0d289b5a850262f03eb2d2d"
08-05 17:15:20.392 24542  4880 D CustomInterceptor: Expires Wed, 05 Aug 2020 15:20:20 GMT+00:00
08-05 17:15:20.392 24542  4880 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 11:22:02 GMT
08-05 17:15:20.392 24542  4880 D CustomInterceptor: Server AmazonS3
08-05 17:15:20.392 24542  4880 D CustomInterceptor: x-amz-id-2 nDiDQANtDNVqEPucOfLtnn1Sx7gr+QY+8aAbQ7XZXU86Z7PKjjK674CpOsLT5+9Veg1xKpYxLtE=
08-05 17:15:20.392 24542  4880 D CustomInterceptor: x-amz-request-id 6Z1W4S4Z6X7N1J4P
08-05 17:15:20.392 24542  4880 D CustomInterceptor: CACHEABLE true
08-05 17:15:20.392 24542  4880 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 17:15:20.392 24542  4880 D CustomInterceptor: REQ_SERV_BY net
08-05 17:15:20.392 24542  4880 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 17:15:20.410 24542  4885 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 17:15:20.411 24542  4885 D CustomInterceptor: HEADER RESPONSE
08-05 17:15:20.411 24542  4885 D CustomInterceptor: Accept-Ranges bytes
08-05 17:15:20.411 24542  4885 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 17:15:20.411 24542  4885 D CustomInterceptor: Content-Length 477
08-05 17:15:20.411 24542  4885 D CustomInterceptor: Content-Type image/png
08-05 17:15:20.411 24542  4885 D CustomInterceptor: Date Wed, 05 Aug 2020 15:15:17 GMT
08-05 17:15:20.411 24542  4885 D CustomInterceptor: ETag "c9bf1f07378831e51f45ddc262f16afc"
08-05 17:15:20.411 24542  4885 D CustomInterceptor: Expires Wed, 05 Aug 2020 15:20:20 GMT+00:00
08-05 17:15:20.411 24542  4885 D CustomInterceptor: Last-Modified Wed, 05 Aug 2020 14:52:15 GMT
08-05 17:15:20.412 24542  4885 D CustomInterceptor: Server AmazonS3
08-05 17:15:20.412 24542  4885 D CustomInterceptor: x-amz-id-2 94Rwk5ojWxCqHXBHdbTnIfMwWvr8BoPO9FIAVluZq4vB828m+Cmx0ha8bhtO/NPhl223fsMKZj0=
08-05 17:15:20.412 24542  4885 D CustomInterceptor: x-amz-request-id 0EA63B351126C2AD
08-05 17:15:20.412 24542  4885 D CustomInterceptor: CACHEABLE true
08-05 17:15:20.412 24542  4885 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 17:15:20.412 24542  4885 D CustomInterceptor: REQ_SERV_BY net
08-05 17:15:20.412 24542  4885 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 17:15:20.413 24542  4883 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 17:15:20.415 24542  4883 D CustomInterceptor: HEADER RESPONSE
08-05 17:15:20.415 24542  4883 D CustomInterceptor: Accept-Ranges bytes
08-05 17:15:20.415 24542  4883 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 17:15:20.415 24542  4883 D CustomInterceptor: Content-Length 243
08-05 17:15:20.415 24542  4883 D CustomInterceptor: Content-Type image/png
08-05 17:15:20.415 24542  4883 D CustomInterceptor: Date Wed, 05 Aug 2020 15:15:17 GMT
08-05 17:15:20.415 24542  4883 D CustomInterceptor: ETag "ff3726165bbd11816de674a75693fba7"
08-05 17:15:20.415 24542  4883 D CustomInterceptor: Expires Wed, 05 Aug 2020 15:20:20 GMT+00:00
08-05 17:15:20.415 24542  4883 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 15:29:13 GMT
08-05 17:15:20.415 24542  4883 D CustomInterceptor: Server AmazonS3
08-05 17:15:20.415 24542  4883 D CustomInterceptor: x-amz-id-2 wne6NNWwn08ntKiKKy9kUukC8PyYkR/ZQjdI2daB9u3xPvfEXggbnrzXM/bpIcjfZt7xqxMiHNE=
08-05 17:15:20.415 24542  4883 D CustomInterceptor: x-amz-request-id 8C96FD80B0A0B0DD
08-05 17:15:20.416 24542  4883 D CustomInterceptor: CACHEABLE true
08-05 17:15:20.416 24542  4883 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-05 17:15:20.416 24542  4883 D CustomInterceptor: REQ_SERV_BY net
08-05 17:15:20.416 24542  4883 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-05 17:15:20.421 24542  4880 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 17:15:20.441 24542  4885 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 17:15:20.443 24542  4883 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 17:15:30.171 24542  4880 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 17:15:30.172 24542  4880 D CustomInterceptor: HEADER REQUEST
08-05 17:15:30.173 24542  4880 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:30.173 24542  4880 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '11', toString = 'LruCache[maxSize=100,hits=8,misses=11,hitRate=42%]', 
08-05 17:15:30.173 24542  4880 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:30.198 24542  4885 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-05 17:15:30.198 24542  4883 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-05 17:15:30.198 24542  4885 D CustomInterceptor: HEADER REQUEST
08-05 17:15:30.198 24542  4885 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:30.199 24542  4885 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '12', toString = 'LruCache[maxSize=100,hits=8,misses=12,hitRate=40%]', 
08-05 17:15:30.199 24542  4885 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:30.199 24542  4883 D CustomInterceptor: HEADER REQUEST
08-05 17:15:30.199 24542  4883 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:30.199 24542  4883 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '13', toString = 'LruCache[maxSize=100,hits=8,misses=13,hitRate=38%]', 
08-05 17:15:30.199 24542  4883 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:30.201 24542  4876 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 17:15:30.202 24542  4876 D CustomInterceptor: HEADER REQUEST
08-05 17:15:30.202 24542  4876 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:30.202 24542  4876 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '14', toString = 'LruCache[maxSize=100,hits=8,misses=14,hitRate=36%]', 
08-05 17:15:30.202 24542  4876 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:30.212 24542  4877 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-05 17:15:30.212 24542  4879 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-05 17:15:30.213 24542  4879 D CustomInterceptor: HEADER REQUEST
08-05 17:15:30.213 24542  4879 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:30.213 24542  4877 D CustomInterceptor: HEADER REQUEST
